City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Qaanaaq,GL,77.484,-69.3632,-17.55,79,100,10.29,overcast clouds
80,San Juan,AR,-31.5375,-68.5364,96.57,22,0,8.46,clear sky
81,Barillas,GT,15.8036,-91.3158,79.14,39,0,4.45,clear sky
82,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,20.71,moderate rain
83,Parakou,BJ,9.3372,2.6303,79.29,12,0,5.61,clear sky
84,Mao,ES,39.8885,4.2658,52.36,62,20,12.66,few clouds
85,Kavieng,PG,-2.5744,150.7967,78.49,83,100,8.32,light rain
86,Yellowknife,CA,62.456,-114.3525,-22.59,74,0,11.5,clear sky
87,Maningrida,AU,-12.0667,134.2667,77.43,89,100,9.44,moderate rain
88,Kita,ML,13.0349,-9.4895,84.0,11,68,5.97,broken clouds
89,Mwinilunga,ZM,-11.7358,24.4293,63.36,96,100,1.41,moderate rain
90,Derendingen,CH,47.1985,7.5884,39.92,93,75,5.99,broken clouds
91,Vizinga,RU,61.0749,50.1031,26.13,96,100,6.53,overcast clouds
92,Kaitangata,NZ,-46.2817,169.8464,60.1,93,100,4.54,light rain
93,Katobu,ID,-4.9408,122.5276,75.47,88,100,1.57,overcast clouds
94,Nanortalik,GL,60.1432,-45.2371,10.83,78,12,12.21,few clouds
95,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,82,40,13.24,scattered clouds
96,Copiapo,CL,-27.3667,-70.3333,82.11,33,0,12.86,clear sky
97,Xanlar,AZ,40.5869,46.3158,42.31,36,20,9.22,few clouds
98,Ixtapa,MX,20.7,-105.2,78.03,41,0,0.0,clear sky
99,Chardara,KZ,41.2547,67.9692,43.97,49,100,4.81,overcast clouds
100,Flin Flon,CA,54.7682,-101.865,-13.16,58,20,13.8,few clouds
101,Pevek,RU,69.7008,170.3133,-13.14,89,97,2.8,overcast clouds
102,Provideniya,RU,64.3833,-173.3,7.47,69,6,23.29,clear sky
103,Santa Maria,BR,-29.6842,-53.8069,88.9,51,20,5.75,few clouds
104,Kodiak,US,57.79,-152.4072,38.71,93,100,18.41,light rain
105,Zaterechnyy,RU,44.7931,45.2097,37.63,80,100,7.38,overcast clouds
106,Cabo San Lucas,MX,22.8909,-109.9124,79.52,52,0,1.99,clear sky
107,Kungurtug,RU,50.5994,97.5228,-18.24,99,68,1.81,broken clouds
108,Clarksdale,US,34.2001,-90.5709,68.16,52,100,17.27,overcast clouds
109,Jamestown,US,42.097,-79.2353,40.3,51,0,19.57,clear sky
110,Vila,PT,42.0304,-8.1588,49.08,77,0,5.59,clear sky
111,Mehamn,NO,71.0357,27.8492,21.38,49,0,20.71,clear sky
112,Wolgast,DE,54.05,13.7667,41.86,89,96,25.61,overcast clouds
113,Kareli,IN,22.9167,79.0667,62.13,46,0,4.32,clear sky
114,Puerto Ayora,EC,-0.7393,-90.3518,84.16,86,90,5.01,overcast clouds
115,Caravelas,BR,-17.7125,-39.2481,84.47,66,100,10.36,overcast clouds
116,Khatanga,RU,71.9667,102.5,-35.68,100,21,2.84,few clouds
117,Tarakan,ID,3.3,117.6333,79.97,80,100,9.55,overcast clouds
118,Mahebourg,MU,-20.4081,57.7,80.89,89,75,20.71,broken clouds
119,Huarmey,PE,-10.0681,-78.1522,76.05,70,100,11.3,overcast clouds
120,Otane,NZ,-39.8833,176.6333,69.01,76,100,3.53,overcast clouds
121,Avarua,CK,-21.2078,-159.775,78.85,83,100,10.36,overcast clouds
122,Dikson,RU,73.5069,80.5464,3.52,93,100,19.13,overcast clouds
123,Salalah,OM,17.0151,54.0924,73.49,64,0,2.3,clear sky
124,Coahuayana,MX,18.7333,-103.6833,83.68,38,0,6.51,clear sky
125,Balikpapan,ID,-1.2675,116.8289,77.99,94,20,3.44,few clouds
126,Gushikawa,JP,26.3544,127.8686,63.99,68,100,6.91,overcast clouds
127,Dingle,PH,10.9995,122.6711,73.24,95,95,7.4,overcast clouds
128,Yarmouth,US,41.7057,-70.2286,37.45,84,100,1.99,overcast clouds
129,Moree,AU,-29.4667,149.85,77.02,78,100,5.75,light rain
130,Iqaluit,CA,63.7506,-68.5145,-20.31,75,100,0.0,overcast clouds
131,Massakory,TD,12.996,15.7293,70.86,13,0,8.41,clear sky
132,Anadyr,RU,64.75,177.4833,18.1,53,0,8.95,clear sky
133,Vila Velha,BR,-20.3297,-40.2925,96.75,46,40,10.36,scattered clouds
134,Yantal,RU,56.8471,105.2542,-4.31,100,100,2.21,overcast clouds
135,Alofi,NU,-19.0595,-169.9187,69.69,100,0,1.14,clear sky
136,Nichinan,JP,31.6,131.3667,39.76,72,71,6.11,broken clouds
137,Itarema,BR,-2.9248,-39.9167,83.97,68,100,15.97,overcast clouds
138,Taoudenni,ML,22.6783,-3.9836,75.56,16,6,9.35,clear sky
139,Cherskiy,RU,68.75,161.3,-8.36,79,91,3.87,overcast clouds
140,Severo-Kurilsk,RU,50.6789,156.125,26.55,79,79,9.46,broken clouds
141,Flinders,AU,-34.5833,150.8552,73.18,88,100,7.0,light rain
142,Siva,EG,29.2041,25.5195,56.57,38,0,8.61,clear sky
143,Katsuura,JP,35.1333,140.3,39.31,45,78,14.25,broken clouds
144,Dwarka,IN,22.2394,68.9678,71.73,75,0,7.43,clear sky
145,Vostok,RU,46.4856,135.8833,-6.09,99,100,4.41,overcast clouds
146,Baudh,IN,20.8416,84.3213,62.49,37,3,1.14,clear sky
147,Saint George,US,37.1041,-113.5841,50.63,27,0,1.99,clear sky
148,Saint-Philippe,RE,-21.3585,55.7679,78.35,93,89,21.85,moderate rain
149,Nemuro,JP,43.3236,145.575,23.38,72,12,17.58,few clouds
150,Fonte Boa,BR,-2.4959,-66.2662,88.45,62,67,2.89,broken clouds
151,Te Anau,NZ,-45.4167,167.7167,63.45,97,100,4.63,overcast clouds
152,Tuatapere,NZ,-46.1333,167.6833,66.81,87,100,7.4,overcast clouds
153,Quelimane,MZ,-17.8786,36.8883,80.55,83,0,8.05,clear sky
154,Kud,IN,33.0833,75.2833,30.58,64,4,8.95,clear sky
155,Klaksvik,FO,62.2266,-6.589,32.92,79,100,15.39,overcast clouds
156,Narsaq,GL,60.9167,-46.05,19.62,91,64,3.02,broken clouds
157,Pak Phanang,TH,8.3511,100.202,78.1,81,97,5.86,overcast clouds
158,Jumla,NP,29.2747,82.1838,31.41,50,0,5.01,clear sky
159,Pangnirtung,CA,66.1451,-65.7125,-25.6,68,0,0.0,clear sky
160,Kruisfontein,ZA,-34.0033,24.7314,75.88,73,99,3.76,overcast clouds
161,Touros,BR,-5.1989,-35.4608,88.7,66,16,13.44,few clouds
162,Fairbanks,US,64.8378,-147.7164,-14.4,74,0,0.0,clear sky
163,Ternate,ID,0.8,127.4,79.27,75,100,6.11,overcast clouds
164,Quatre Cocos,MU,-20.2078,57.7625,80.71,91,100,29.53,moderate rain
165,Ribeira Grande,PT,38.5167,-28.7,63.0,72,20,20.71,few clouds
166,Souillac,MU,-20.5167,57.5167,80.98,89,75,20.71,moderate rain
167,Ituporanga,BR,-27.4144,-49.6025,84.36,35,24,5.3,few clouds
168,Prince George,CA,53.9166,-122.753,8.29,61,40,11.5,scattered clouds
169,Ostrovnoy,RU,68.0531,39.5131,14.94,95,100,3.38,overcast clouds
170,San Cristobal,VE,7.7669,-72.225,77.18,30,89,8.08,overcast clouds
171,Iguape,BR,-24.7081,-47.5553,80.33,77,100,8.81,overcast clouds
172,Puerto Narino,CO,-3.7703,-70.3831,89.55,61,100,4.14,overcast clouds
173,Lorengau,PG,-2.0226,147.2712,78.78,80,100,5.12,overcast clouds
174,Mount Gambier,AU,-37.8333,140.7667,48.11,66,40,6.91,scattered clouds
175,Ponta Do Sol,PT,32.6667,-17.1,67.01,72,1,11.25,clear sky
176,Guerrero Negro,MX,27.9769,-114.0611,63.41,61,100,12.73,overcast clouds
177,Poum,NC,-20.2333,164.0167,80.65,78,32,10.09,scattered clouds
178,Castro,BR,-24.7911,-50.0119,79.14,56,3,4.61,clear sky
179,Kampot,KH,10.6167,104.1833,78.85,76,37,3.98,scattered clouds
180,Rincon,US,32.296,-81.2354,68.18,52,40,1.99,scattered clouds
181,Port Blair,IN,11.6667,92.75,73.44,88,40,0.0,mist
182,Victor Harbor,AU,-35.5667,138.6167,61.81,64,64,4.0,broken clouds
183,Carnarvon,AU,-24.8667,113.6333,77.07,83,100,19.57,overcast clouds
184,Leningradskiy,RU,69.3833,178.4167,-11.45,94,43,11.77,scattered clouds
185,Yumen,CN,40.2833,97.2,18.3,28,12,3.06,few clouds
186,Yaring,TH,6.8662,101.3689,76.33,87,43,8.28,scattered clouds
187,Kupang,ID,-10.1667,123.5833,79.52,83,7,9.98,clear sky
188,Lipin Bor,RU,60.2622,37.9763,15.17,97,100,3.18,overcast clouds
189,Manzhouli,CN,49.6,117.4333,-14.53,94,19,7.05,few clouds
190,Kjollefjord,NO,70.9457,27.3465,21.25,49,0,20.71,clear sky
191,Omboue,GA,-1.5746,9.2618,78.8,86,59,7.02,light rain
192,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,76.96,83,100,2.59,overcast clouds
193,Bonthe,SL,7.5264,-12.505,80.04,79,85,12.82,overcast clouds
194,Codrington,AU,-38.2667,141.9667,57.18,52,88,15.08,overcast clouds
195,Atbasar,KZ,51.8,68.3333,0.82,99,100,3.65,overcast clouds
196,Meulaboh,ID,4.1363,96.1285,75.45,91,95,6.24,overcast clouds
197,Krasnohrad,UA,49.3814,35.4402,16.41,98,100,3.78,overcast clouds
198,Talcahuano,CL,-36.7167,-73.1167,63.27,70,0,6.53,clear sky
199,San Jeronimo,PE,-11.9472,-75.2829,54.93,77,100,5.35,moderate rain
200,Methoni,GR,36.8197,21.7049,55.26,76,100,20.24,overcast clouds
201,Buraydah,SA,26.326,43.975,54.05,35,0,7.92,clear sky
202,Pamekasan,ID,-7.1568,113.4746,77.34,89,95,5.97,overcast clouds
203,Traverse City,US,44.7631,-85.6206,45.34,95,86,15.73,overcast clouds
204,Mandalgovi,MN,45.7625,106.2708,-0.96,73,0,7.07,clear sky
205,George Town,MY,5.4112,100.3354,82.89,86,20,5.01,few clouds
206,Zakamensk,RU,50.3741,103.2863,-8.84,95,73,3.65,broken clouds
207,Jacareacanga,BR,-6.2222,-57.7528,82.22,81,100,2.84,overcast clouds
208,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.46,66,11,9.1,few clouds
209,Lugovoy,KZ,42.9472,72.7644,29.32,65,0,5.91,clear sky
210,Red Wing,US,44.5625,-92.5338,23.56,62,40,4.0,scattered clouds
211,Constitucion,CL,-35.3333,-72.4167,68.13,62,7,7.63,clear sky
212,Korla,CN,41.7597,86.1469,24.01,45,58,1.74,broken clouds
213,Hede,CN,33.7681,120.2517,30.92,66,100,3.89,overcast clouds
214,Harwich,GB,51.9419,1.2844,54.34,66,58,17.0,broken clouds
215,Sao Joao Da Barra,BR,-21.6403,-41.0511,93.29,78,95,6.02,overcast clouds
216,Vestmannaeyjar,IS,63.4427,-20.2734,36.59,87,75,18.41,broken clouds
217,Kahului,US,20.8947,-156.47,70.97,77,20,0.0,few clouds
218,Lewistown,US,40.5992,-77.5714,39.07,72,0,9.22,clear sky
219,Saquarema,BR,-22.92,-42.5103,86.02,77,51,11.43,light rain
220,Magnolia,US,33.2671,-93.2393,67.68,64,99,10.18,overcast clouds
221,Murgab,TM,37.4966,61.9714,55.27,41,100,9.22,overcast clouds
222,Komsomolskiy,UZ,40.4272,71.7189,31.42,74,100,4.61,mist
223,Camalu,MX,30.85,-116.0667,57.42,66,83,5.46,broken clouds
224,Umtata,ZA,-31.5889,28.7844,73.96,83,75,8.05,broken clouds
225,Whitianga,NZ,-36.8333,175.7,69.03,88,100,12.53,overcast clouds
226,Virginia Beach,US,36.8529,-75.978,47.03,73,20,3.0,few clouds
227,San Policarpo,PH,12.1791,125.5072,78.13,84,100,9.57,overcast clouds
228,Beloha,MG,-25.1667,45.05,74.26,78,0,21.68,clear sky
229,Ketchikan,US,55.3422,-131.6461,33.78,80,40,5.75,scattered clouds
230,Shatsk,RU,54.0258,41.7119,25.38,92,98,14.83,overcast clouds
231,Riverton,US,40.5219,-111.9391,34.3,48,0,7.0,clear sky
232,Lasa,IT,46.6166,10.7002,42.71,94,100,8.03,light rain
233,Port Macquarie,AU,-31.4333,152.9167,75.88,85,100,8.01,overcast clouds
234,Campbell River,CA,50.0163,-125.2446,37.26,80,75,9.22,broken clouds
235,Celestun,MX,20.8667,-90.4,81.55,54,0,1.88,clear sky
236,Batagay-Alyta,RU,67.8006,130.4114,-10.48,98,100,1.28,overcast clouds
237,Sola,VU,-13.8833,167.55,80.83,79,99,14.99,light rain
238,Falefa,WS,-13.887,-171.588,71.49,79,80,18.43,light rain
239,Okhotsk,RU,59.3833,143.3,0.25,77,8,16.28,clear sky
240,Lebork,PL,54.5392,17.7501,34.92,97,100,11.61,snow
241,Lompoc,US,34.6391,-120.4579,65.08,53,0,13.8,clear sky
242,Trairi,BR,-3.2778,-39.2689,83.55,68,100,13.78,overcast clouds
243,Chegdomyn,RU,51.1167,133.0167,-19.66,100,100,1.12,overcast clouds
244,Takoradi,GH,4.8845,-1.7554,80.69,79,12,10.13,few clouds
245,Nyrob,RU,60.733,56.7202,28.29,96,100,11.1,light snow
246,Tolmachevo,RU,54.9824,82.7363,21.18,86,100,6.71,light snow
247,Tres Picos,MX,15.8667,-93.5333,85.98,53,1,8.66,clear sky
248,Algiers,DZ,36.7525,3.042,49.82,76,40,3.44,scattered clouds
249,Bengkulu,ID,-3.8004,102.2655,73.27,87,100,7.54,overcast clouds
250,Tateyama,JP,34.9833,139.8667,39.22,45,93,11.23,overcast clouds
251,Labuhan,ID,-6.8844,112.2051,77.41,88,97,5.32,overcast clouds
252,Wonthaggi,AU,-38.6044,145.5913,59.72,66,100,17.72,overcast clouds
253,Andenes,NO,69.3143,16.1194,26.58,54,0,16.11,clear sky
254,Hambantota,LK,6.1241,81.1185,77.34,83,40,10.36,scattered clouds
255,Bathsheba,BB,13.2167,-59.5167,84.81,61,20,14.97,few clouds
256,Filadelfia,US,39.9523,-75.1638,40.21,58,75,4.0,broken clouds
257,Castelnaudary,FR,43.3183,1.9545,49.62,72,100,1.99,overcast clouds
258,Soubre,CI,5.7856,-6.6083,81.79,31,100,1.07,overcast clouds
259,Jiwani,PK,25.05,61.7417,73.6,71,0,13.65,clear sky
260,Northampton,US,40.8754,-75.2499,36.52,49,97,1.01,overcast clouds
261,Pocoes,BR,-14.5297,-40.3653,78.15,67,71,4.52,broken clouds
262,Ararat,AM,39.8317,44.7049,30.54,63,8,3.47,clear sky
263,Itupiranga,BR,-5.1347,-49.3267,91.72,86,75,2.95,broken clouds
264,Isangel,VU,-19.55,169.2667,77.11,94,100,3.44,overcast clouds
265,Benoy,TD,8.9833,16.3199,75.29,15,11,4.97,few clouds
266,Port Said,EG,31.2565,32.2841,61.21,61,2,12.57,clear sky
267,Kastamonu,TR,41.5,33.6667,27.46,94,96,1.28,light snow
268,Bracebridge,CA,45.0334,-79.3163,35.87,64,0,20.71,clear sky
269,Pedernales,DO,18.0384,-71.744,81.77,63,55,5.17,broken clouds
270,Waycross,US,31.2136,-82.354,68.99,31,0,6.91,clear sky
271,Outjo,NA,-20.1167,16.15,72.81,39,100,13.53,overcast clouds
272,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,93.0,52,40,2.3,scattered clouds
273,Seoul,KR,37.5683,126.9778,29.59,77,20,1.14,fog
274,Yulara,AU,-25.2406,130.9889,67.84,100,100,11.5,overcast clouds
275,Bilma,NE,18.6853,12.9164,59.65,19,0,5.12,clear sky
276,Lebu,CL,-37.6167,-73.65,65.59,70,0,12.44,clear sky
277,Ganzhou,CN,28.8184,115.4327,38.46,96,100,7.92,light rain
278,Paamiut,GL,61.994,-49.6678,16.02,74,100,14.97,light snow
279,Manaure,CO,11.7751,-72.4445,84.31,59,37,12.84,scattered clouds
280,Kangundo,KE,-1.2979,37.3471,72.5,74,100,1.79,light rain
281,Manavalakurichi,IN,8.1333,77.3,82.49,80,4,6.8,clear sky
282,Ancud,CL,-41.8697,-73.8203,67.23,78,100,9.15,overcast clouds
283,Yar-Sale,RU,66.8333,70.8333,-16.82,99,69,6.22,broken clouds
284,Mayo,US,38.8876,-76.5119,44.56,61,0,8.99,clear sky
285,Laguna,US,38.421,-121.4238,59.02,37,0,8.99,clear sky
286,Areosa,PT,41.7178,-8.8571,61.36,69,0,4.97,clear sky
287,Kindu,CD,-2.95,25.95,72.16,84,100,2.24,overcast clouds
288,Benghazi,LY,32.1167,20.0667,58.1,67,71,21.54,broken clouds
289,Jiujiang,CN,29.7333,115.9833,37.89,90,100,17.4,overcast clouds
290,Coihaique,CL,-45.5752,-72.0662,69.75,40,75,9.22,broken clouds
291,Erdenet,MN,49.0333,104.0833,-10.25,90,24,4.59,few clouds
292,Qunduz,AF,36.729,68.857,48.38,42,100,1.05,overcast clouds
293,The Valley,AI,18.217,-63.0578,85.86,74,75,11.5,broken clouds
294,Lubango,AO,-14.9172,13.4925,60.58,47,90,5.68,overcast clouds
295,Birnin Kebbi,NG,12.4539,4.1975,72.09,13,0,9.51,clear sky
296,Adrar,MR,20.5022,-10.0711,77.68,13,93,11.72,overcast clouds
297,Carutapera,BR,-1.195,-46.02,80.71,83,97,8.84,overcast clouds
298,Shache,CN,38.4167,77.2406,26.87,43,0,3.62,clear sky
299,Bambanglipuro,ID,-7.95,110.2833,62.6,87,94,4.54,overcast clouds
300,Harer,ET,9.3094,42.1258,59.65,49,58,9.31,broken clouds
301,Varhaug,NO,58.6147,5.6457,44.15,80,36,30.78,scattered clouds
302,Caxito,AO,-8.5785,13.6643,77.02,77,76,5.53,broken clouds
303,Lodja,CD,-3.4833,23.4333,72.46,85,93,2.71,overcast clouds
304,Nicoya,CR,10.1483,-85.452,89.15,36,20,3.89,few clouds
305,Kuah,MY,6.3265,99.8432,82.38,69,20,8.05,few clouds
306,Ilulissat,GL,69.2167,-51.1,3.22,51,75,8.05,broken clouds
307,Basco,PH,20.4487,121.9702,73.09,76,100,17.0,overcast clouds
308,Thompson,CA,55.7435,-97.8558,-18.24,69,75,9.22,broken clouds
309,Kontagora,NG,10.3999,5.4695,77.49,13,0,6.15,clear sky
310,Torbay,CA,47.6666,-52.7314,28.27,53,75,19.57,broken clouds
311,Borisoglebsk,RU,51.3671,42.0849,31.33,94,100,8.9,overcast clouds
312,Tezu,IN,27.9167,96.1667,53.2,91,100,1.39,overcast clouds
313,Bograd,RU,54.2344,90.8328,-15.05,97,100,2.44,overcast clouds
314,Luderitz,NA,-26.6481,15.1594,66.06,85,47,9.06,scattered clouds
315,Kailua,US,21.4022,-157.7394,75.15,84,0,6.91,clear sky
316,Hranice,CZ,49.548,17.7347,36.0,96,100,13.38,light snow
317,Uyuni,BO,-20.4597,-66.825,53.82,61,98,10.6,overcast clouds
318,Zamora,EC,-4.0692,-78.9567,87.04,62,72,4.5,light rain
319,Orsha,BY,54.5153,30.4053,19.33,95,100,10.4,light snow
320,Pirawa,IN,24.1551,76.0273,65.25,47,0,3.91,clear sky
321,Broken Hill,AU,-31.95,141.4333,58.71,58,100,19.57,overcast clouds
322,Port Hardy,CA,50.6996,-127.4199,39.76,93,75,3.44,broken clouds
323,Zhovti Vody,UA,48.3473,33.5003,26.92,94,100,2.46,overcast clouds
324,Kentau,KZ,43.5206,68.5094,31.53,63,1,10.96,clear sky
325,Naze,JP,28.3667,129.4833,55.81,70,100,10.58,overcast clouds
326,Jardim,BR,-21.4803,-56.1381,92.07,37,73,7.38,broken clouds
327,Terrace,CA,54.5163,-128.6035,31.42,69,75,14.97,broken clouds
328,Prestea,GH,5.4327,-2.1428,81.05,69,84,7.09,broken clouds
329,Tubara,CO,10.8744,-74.9789,86.95,56,17,18.66,few clouds
330,Belaya Gora,RU,68.5333,146.4167,-15.72,97,100,5.53,overcast clouds
331,Kuching,MY,1.55,110.3333,75.42,100,40,3.44,scattered clouds
332,Sisimiut,GL,66.9395,-53.6735,8.47,89,100,7.0,light snow
333,Tucupita,VE,9.0622,-62.051,87.76,50,85,7.05,overcast clouds
334,Stelle,DE,53.3842,10.1114,45.34,81,96,20.6,overcast clouds
335,Hami,CN,42.8,93.45,22.48,33,65,2.06,broken clouds
336,Anloga,GH,5.7947,0.8973,84.42,67,3,10.85,clear sky
337,Necochea,AR,-38.5473,-58.7368,79.03,42,4,13.69,clear sky
338,Kismayo,SO,-0.3582,42.5454,78.87,85,100,14.76,overcast clouds
339,Bethel,US,41.3712,-73.414,36.57,60,0,1.99,clear sky
340,Tigil,RU,57.8,158.6667,10.13,84,100,7.2,overcast clouds
341,Grindavik,IS,63.8424,-22.4338,36.07,69,75,21.85,moderate rain
342,Antsohihy,MG,-14.8796,47.9875,77.23,85,31,1.23,scattered clouds
343,Douglas,US,41.3,-96.167,36.52,45,0,5.99,clear sky
344,Mugumu,TZ,-1.85,34.7,60.35,92,90,1.12,light rain
345,Sembe,CG,1.6481,14.5806,79.93,40,57,1.52,broken clouds
346,Ibotirama,BR,-12.1853,-43.2206,93.16,32,30,4.25,scattered clouds
347,Tiksi,RU,71.6872,128.8694,-15.63,100,100,3.4,overcast clouds
348,Payson,US,40.0444,-111.7321,33.55,47,0,0.0,clear sky
