City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
225,Whitianga,NZ,69.03,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
227,San Policarpo,PH,78.13,overcast clouds,12.1791,125.5072,Agapita M. Nicart
233,Port Macquarie,AU,75.88,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
238,Falefa,WS,71.49,light rain,-13.887,-171.588,Leuaina Beach Resort and Spa
241,Lompoc,US,65.08,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
249,Bengkulu,ID,73.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
251,Labuhan,ID,77.41,overcast clouds,-6.8844,112.2051,DoubleFAG
254,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
259,Jiwani,PK,73.6,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
261,Pocoes,BR,78.15,broken clouds,-14.5297,-40.3653,Poções Palace Hotel
264,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
266,Port Said,EG,61.21,clear sky,31.2565,32.2841,Aracan Hotel
270,Waycross,US,68.99,clear sky,31.2136,-82.354,Super 8 by Wyndham Waycross GA
274,Yulara,AU,67.84,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
276,Lebu,CL,65.59,clear sky,-37.6167,-73.65,Hostal Las Lilas
280,Kangundo,KE,72.5,light rain,-1.2979,37.3471,Kmercy Suites
282,Ancud,CL,67.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
286,Areosa,PT,61.36,clear sky,41.7178,-8.8571,Hotel Flôr de Sal
287,Kindu,CD,72.16,overcast clouds,-2.95,25.95,Résidence Okanda
290,Coihaique,CL,69.75,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
294,Lubango,AO,60.58,overcast clouds,-14.9172,13.4925,Hotel Serra da Chela
295,Birnin Kebbi,NG,72.09,clear sky,12.4539,4.1975,Saffar Guest Inn Ltd
299,Bambanglipuro,ID,62.6,overcast clouds,-7.95,110.2833,Puri Brata
307,Basco,PH,73.09,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
309,Kontagora,NG,77.49,clear sky,10.3999,5.4695,Queens Guest Inn
315,Kailua,US,75.15,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
320,Pirawa,IN,65.25,clear sky,24.1551,76.0273,सामुदायिक भवन सराय पिड़ावा
331,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
337,Necochea,AR,79.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
338,Kismayo,SO,78.87,overcast clouds,-0.3582,42.5454,Agan-Hotel
342,Antsohihy,MG,77.23,scattered clouds,-14.8796,47.9875,Hotel de Ville
344,Mugumu,TZ,60.35,light rain,-1.85,34.7,Lemala Mara
349,Mudon,MM,65.46,broken clouds,16.2578,97.7164,Motel Mudon
351,San Fernando,PH,77.02,overcast clouds,15.0286,120.6898,Maharlika Hostel
356,Hokitika,NZ,63.23,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
358,Lavumisa,SZ,72.3,clear sky,-27.31,31.892,ROADSIDE B&B
359,Cockburn Town,TC,75.2,clear sky,21.4612,-71.1419,Osprey Beach Hotel
365,Villa Guerrero,MX,74.5,clear sky,18.8667,-99.65,Ixtapan de la Sal Marriott Hotel & Spa
377,Los Llanos De Aridane,ES,70.12,broken clouds,28.6585,-17.9182,Valle Aridane
379,Kyaukse,MM,61.25,clear sky,21.6,96.1333,Shwe Thit Sar Guesthouse
381,Pangkalanbuun,ID,73.6,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
384,Camacha,PT,63.54,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
385,Hirara,JP,68.65,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
387,Harlingen,US,73.33,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
389,Arlit,NE,65.73,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
391,Numan,NG,75.6,clear sky,9.4667,12.0333,Zangun Motel
